title,price,tikinow,freeship,reviews,product_id,link,rating_value,image url,badge under price,discount percentage,installment,free gifts,dis_percentage
Điện Thoại Samsung Galaxy S21 Ultra 5G (12GB/128GB) - Hàng Chính Hãng,21690000,Yes,No,56,2473439871332,https://tiki.vn/dien-thoai-samsung-galaxy-s21-ultra-hang-chinh-hang-p74810915.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/1f/0a/5a/a9caf9bd46152c0c18b767a9243d84c8.jpg,No,,Yes,No,30
Điện Thoại iPhone 11 128GB - Hàng Chính Hãng,17600000,Yes,No,373,9615466832730,https://tiki.vn/dien-thoai-iphone-11-128gb-hang-chinh-hang-p32033730.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/84/3d/55/53c0c62337b5611f3c370cbaa74df15b.jpg,No,,Yes,No,27
AdĐiện Thoại Nokia 215 4G - Hàng Chính Hãng,640000,No,No,2,2691759979859,https://tiki.vn/dien-thoai-nokia-215-4g-hang-chinh-hang-p72882726.html?spid=92567849&src=ss-ads,0,https://salt.tikicdn.com/cache/280x280/ts/product/82/75/da/c8fdc7c380d4fb2e29c5e1c95195bb27.jpg,Yes,,No,No,15
Điện Thoại iPhone 12 Pro 256GB - Hàng Chính Hãng,28990000,Yes,Yes,97,6089307707366,https://tiki.vn/dien-thoai-iphone-12-pro-256gb-hang-chinh-hang-p71198812.html?src=ss-organic,0,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,No,,Yes,No,17
Điện Thoại Xiaomi Redmi Note 10 (6GB/128GB) - Hàng Chính Hãng,4690000,Yes,No,37,1015240526914,https://tiki.vn/dien-thoai-xiaomi-redmi-note-10-6gb-128gb-hang-chinh-hang-p84709895.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/08/52/3b/f31fe2b6ff847dcde2e1080c6dbd37ff.jpg,No,,No,No,15
iPad Air 10.9 Wi-Fi 64GB New 2020 - Hàng Chính Hãng,14950000,Yes,No,133,8853478446366,https://tiki.vn/ipad-air-10-9-wi-fi-64gb-new-2020-hang-chinh-hang-p68171118.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/e4/75/d1/03f761ba119302bdc46aa2635c0938bb.jpg,No,,Yes,No,17
"AdMáy đọc sách Kobo Clara HD 8GB đen, 6 inch, có đèn cam - Hàng nhập khẩu",3245000,No,No,4,2956945853043,https://tiki.vn/may-doc-sach-kobo-clara-8gb-den-6-inch-co-den-cam-hang-nhap-khau-p72290345.html?spid=77874198&src=ss-ads,5,https://salt.tikicdn.com/cache/280x280/ts/product/f0/04/a4/8daf08244f9766c75ece956b9edcb0b9.png,No,,No,No,35
Điện Thoại iPhone 12 64GB - Hàng  Chính Hãng,20450000,Yes,Yes,185,1139201322815,https://tiki.vn/dien-thoai-iphone-12-hang-chinh-hang-p70766415.html?src=ss-organic,0,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,No,,Yes,No,18
Điện Thoại Oppo A93 2020 (8GB/128GB) - Hàng Chính Hãng,5490000,Yes,No,111,3403549630092,https://tiki.vn/dien-thoai-oppo-a93-2020-8gb-128gb-hang-chinh-hang-p68596326.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/9f/e7/2e/c8d7c6fad742cf1a15f1b6b34e59fd2b.jpg,Yes,,Yes,No,27
Điện Thoại Samsung Galaxy S21 Plus 5G (8GB/128GB) - Hàng Chính Hãng,19990000,Yes,No,68,9446425520937,https://tiki.vn/dien-thoai-samsung-galaxy-s21-plus-hang-chinh-hang-p74750613.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/80/d2/4e/2a3d3c210d3938449b0a08c2cd70510b.jpg,No,,Yes,No,23
